City,State,Latitude,Longitude,Datetime,Year,Month,Day,Hour,Day_of_Week,Day_Name,Week_of_Year,Is_Weekend,Quarter,Season,Time_of_Day,Temp_2m_C,Temp_80m_C,Temp_120m_C,Temp_180m_C,Humidity_Percent,Dew_Point_C,Humidity_Category,Wind_Speed_10m_kmh,Wind_Speed_80m_kmh,Wind_Speed_120m_kmh,Wind_Dir_10m,Wind_Gusts_kmh,Wind_Category,Wind_Stagnation,Precipitation_mm,Rain_mm,Is_Raining,Heavy_Rain,Pressure_MSL_hPa,Surface_Pressure_hPa,Solar_Radiation_Wm2,Direct_Radiation_Wm2,Diffuse_Radiation_Wm2,UV_Index,Cloud_Cover_Percent,Cloud_Low_Percent,Cloud_Mid_Percent,Cloud_High_Percent,Is_Daytime,Sunshine_Seconds,PM2_5_ugm3,PM10_ugm3,PM_Ratio,CO_ugm3,NO2_ugm3,SO2_ugm3,O3_ugm3,Dust_ugm3,NH3_ugm3,AOD,US_AQI,US_AQI_PM25,US_AQI_PM10,US_AQI_NO2,US_AQI_O3,US_AQI_CO,EU_AQI,EU_AQI_PM25,EU_AQI_PM10,AQI_Category,PM25_Category_India,Temp_Inversion,Inversion_Strength_C,Festival_Period,Crop_Burning_Season
Agartala,Tripura,23.8315,91.2868,2022-08-05 00:00:00,2022,8,5,0,4,Friday,31,0,3,Monsoon,Night,26.7,,,,91,25.1,Very_Humid,5.4,,,172,11.2,Moderate,0,0.0,0.0,0,0,1004.4,1003.0,0.0,0.0,0.0,,100,0,7,100,0,0.0,14.8,21.5,0.6883720930232559,197.0,21.8,2.7,32.0,0.0,,0.14,,,,11.0,16.0,2,,,,,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 01:00:00,2022,8,5,1,4,Friday,31,0,3,Monsoon,Night,26.4,,,,93,25.2,Very_Humid,4.5,,,166,9.0,Light,0,0.0,0.0,0,0,1003.9,1002.5,0.0,0.0,0.0,,100,3,4,100,0,0.0,15.7,22.8,0.6885964912280701,196.0,18.5,3.0,33.0,0.0,,0.14,,,,9.0,14.0,2,,,,,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 02:00:00,2022,8,5,2,4,Friday,31,0,3,Monsoon,Night,26.1,,,,95,25.2,Very_Humid,3.8,,,163,7.6,Light,0,0.0,0.0,0,0,1003.5,1002.1,0.0,0.0,0.0,,100,2,2,100,0,0.0,16.3,23.5,0.6936170212765957,196.0,15.1,3.3,34.0,0.0,,0.15,,,,7.0,14.0,2,,,,,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 03:00:00,2022,8,5,3,4,Friday,31,0,3,Monsoon,Night,26.0,,,,96,25.2,Very_Humid,3.7,,,151,6.8,Light,0,0.0,0.0,0,0,1003.0,1001.6,0.0,0.0,0.0,,100,0,1,100,0,0.0,17.6,25.4,0.6929133858267718,197.0,14.1,3.3,32.0,0.0,,0.15,,,,7.0,14.0,2,,,,,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 04:00:00,2022,8,5,4,4,Friday,31,0,3,Monsoon,Night,25.8,,,,97,25.2,Very_Humid,4.1,,,128,6.8,Light,0,0.0,0.0,0,0,1002.9,1001.5,0.0,0.0,0.0,,100,0,1,100,0,0.0,18.2,26.2,0.6946564885496184,199.0,13.9,3.2,30.0,0.0,,0.14,,,,7.0,14.0,2,,,,,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 05:00:00,2022,8,5,5,4,Friday,31,0,3,Monsoon,Night,26.6,,,,95,25.7,Very_Humid,4.3,,,114,9.4,Light,0,0.0,0.0,0,0,1003.5,1002.1,12.0,2.0,10.0,,100,0,0,83,1,0.0,19.1,27.6,0.6920289855072463,210.0,16.4,3.5,26.0,0.0,,0.13,54.0,54.0,19.0,8.0,14.0,2,28.0,28.0,20.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 06:00:00,2022,8,5,6,4,Friday,31,0,3,Monsoon,Early_Morning,27.9,,,,89,26.0,Very_Humid,3.4,,,108,10.1,Light,0,0.0,0.0,0,0,1003.7,1002.3,122.0,47.0,75.0,,100,6,3,100,1,3600.0,16.2,23.6,0.6864406779661016,197.0,15.6,3.6,31.0,0.0,,0.13,55.0,55.0,19.0,8.0,14.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 07:00:00,2022,8,5,7,4,Friday,31,0,3,Monsoon,Early_Morning,29.3,,,,82,25.9,Humid,4.0,,,170,13.0,Light,0,0.0,0.0,0,0,1004.1,1002.7,327.0,213.0,114.0,,98,12,2,98,1,3600.0,12.0,17.7,0.6779661016949153,180.0,14.5,3.7,39.0,0.0,,0.12,55.0,55.0,19.0,7.0,14.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 08:00:00,2022,8,5,8,4,Friday,31,0,3,Monsoon,Early_Morning,30.4,,,,78,26.1,Humid,6.1,,,183,17.6,Moderate,0,0.1,0.1,1,0,1004.4,1003.0,539.0,402.0,137.0,,99,22,8,99,1,3600.0,10.1,14.9,0.6778523489932885,160.0,12.8,3.6,50.0,0.0,,0.13,55.0,55.0,19.0,6.0,15.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 09:00:00,2022,8,5,9,4,Friday,31,0,3,Monsoon,Morning,31.2,,,,73,25.8,Humid,3.5,,,156,18.0,Light,0,0.1,0.1,1,0,1003.7,1002.3,566.0,313.0,253.0,,100,10,8,100,1,3600.0,10.9,16.1,0.6770186335403726,153.0,10.9,3.2,60.0,0.0,,0.16,54.0,54.0,19.0,5.0,16.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 10:00:00,2022,8,5,10,4,Friday,31,0,3,Monsoon,Morning,31.9,,,,70,25.8,Comfortable,4.0,,,95,15.5,Light,0,0.2,0.2,1,0,1002.6,1001.3,636.0,300.0,336.0,,100,15,10,100,1,3600.0,13.0,19.0,0.6842105263157895,150.0,8.9,2.8,71.0,0.0,,0.19,55.0,55.0,19.0,4.0,18.0,2,28.0,28.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 11:00:00,2022,8,5,11,4,Friday,31,0,3,Monsoon,Morning,32.4,,,,69,26.0,Comfortable,4.3,,,90,15.8,Light,0,0.0,0.0,0,0,1001.8,1000.5,678.0,335.0,343.0,,100,15,9,100,1,3600.0,15.3,22.3,0.6860986547085202,148.0,7.2,2.2,82.0,0.0,,0.23,55.0,55.0,19.0,4.0,20.0,2,33.0,29.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 12:00:00,2022,8,5,12,4,Friday,31,0,3,Monsoon,Morning,32.8,,,,69,26.3,Comfortable,4.3,,,90,15.1,Light,0,0.1,0.1,1,0,1000.3,999.0,718.0,418.0,300.0,,100,10,8,100,1,3600.0,15.0,21.9,0.6849315068493151,146.0,6.9,2.0,85.0,0.0,,0.26,55.0,55.0,19.0,3.0,23.0,2,34.0,29.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 13:00:00,2022,8,5,13,4,Friday,31,0,3,Monsoon,Afternoon,33.3,,,,67,26.4,Comfortable,2.0,,,135,15.1,Calm,0,0.0,0.0,0,0,999.1,997.8,738.0,488.0,250.0,,100,6,7,100,1,3600.0,15.4,22.4,0.6875000000000001,144.0,7.3,1.9,84.0,0.0,,0.22,56.0,56.0,20.0,4.0,26.0,2,34.0,29.0,21.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 14:00:00,2022,8,5,14,4,Friday,31,0,3,Monsoon,Afternoon,33.4,,,,66,26.3,Comfortable,4.2,,,200,14.0,Light,0,0.0,0.0,0,0,998.2,996.9,654.0,469.0,185.0,,100,9,10,100,1,3600.0,14.7,21.4,0.6869158878504673,147.0,11.1,1.8,78.0,0.0,,0.21,56.0,56.0,20.0,5.0,29.0,2,31.0,30.0,22.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 15:00:00,2022,8,5,15,4,Friday,31,0,3,Monsoon,Afternoon,32.9,,,,68,26.1,Comfortable,6.0,,,197,15.5,Moderate,0,0.0,0.0,0,0,998.0,996.7,498.0,321.0,177.0,,100,5,12,100,1,3600.0,13.3,19.3,0.689119170984456,155.0,18.5,1.8,66.0,0.0,,0.2,56.0,56.0,20.0,9.0,32.0,1,30.0,30.0,22.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 16:00:00,2022,8,5,16,4,Friday,31,0,3,Monsoon,Afternoon,30.3,,,,78,26.0,Humid,10.3,,,168,18.4,Fresh,0,1.7,1.7,1,0,998.7,997.4,232.0,95.0,137.0,,100,100,14,100,1,3600.0,12.0,17.5,0.6857142857142857,167.0,28.5,1.8,50.0,0.0,,0.2,56.0,56.0,20.0,14.0,33.0,1,30.0,30.0,22.0,Moderate,Good,0,,0,0
Agartala,Tripura,23.8315,91.2868,2022-08-05 17:00:00,2022,8,5,17,4,Friday,31,0,3,Monsoon,Afternoon,29.5,,,,84,26.4,Humid,2.9,,,210,25.6,Light,0,0.9,0.9,1,0,999.9,998.5,49.0,3.0,46.0,,100,16,51,100,1,0.0,13.8,20.0,0.6900000000000001,195.0,40.5,1.2,28.0,0.0,,0.24,56.0,56.0,20.0,20.0,33.0,1,30.0,30.0,22.0,Moderate,Good,0,,0,0
